id,klassifikator_kodi,name_uz,name_ru,name_en,davr,miqdor
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2010,60.8
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2012,60.8
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2013,60.9
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2014,61.9
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2015,64.6
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2016,66.8
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2017,65.3
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2018,62.4
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2011,61.9
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2019,56.0
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2020,54.8
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2021,54.1
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2022,51.8
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2023Q1,43.7
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2023Q2,48.6
420,1700,O'zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,2023Q3,51.2
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2010,60.7
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2012,62.5
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2013,62.5
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2014,62.7
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2015,69.7
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2016,63.6
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2017,58.5
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2018,57.0
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2011,60.1
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2019,56.3
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2020,58.3
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2021,56.3
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2022,56.6
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2023Q1,48.8
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2023Q2,53.9
420,1735,Qoraqalpog'iston Respublikasi,Республика Каракалпакстан,The Republic of Karakalpakstan,2023Q3,56.9
420,1703,Andijon viloyati,Андижанская область,Andijan region,2010,69.1
420,1703,Andijon viloyati,Андижанская область,Andijan region,2012,67.3
420,1703,Andijon viloyati,Андижанская область,Andijan region,2013,68.4
420,1703,Andijon viloyati,Андижанская область,Andijan region,2014,71.3
420,1703,Andijon viloyati,Андижанская область,Andijan region,2015,78.5
420,1703,Andijon viloyati,Андижанская область,Andijan region,2016,83.6
420,1703,Andijon viloyati,Андижанская область,Andijan region,2017,80.2
420,1703,Andijon viloyati,Андижанская область,Andijan region,2018,73.1
420,1703,Andijon viloyati,Андижанская область,Andijan region,2011,69.8
420,1703,Andijon viloyati,Андижанская область,Andijan region,2019,69.6
420,1703,Andijon viloyati,Андижанская область,Andijan region,2020,70.1
420,1703,Andijon viloyati,Андижанская область,Andijan region,2021,72.2
420,1703,Andijon viloyati,Андижанская область,Andijan region,2022,69.5
420,1703,Andijon viloyati,Андижанская область,Andijan region,2023Q1,63.7
420,1703,Andijon viloyati,Андижанская область,Andijan region,2023Q2,66.8
420,1703,Andijon viloyati,Андижанская область,Andijan region,2023Q3,68.6
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2010,64.5
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2012,70.2
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2013,72.1
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2014,73.6
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2015,77.4
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2016,79.3
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2017,79.9
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2018,80.9
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2011,71.2
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2019,74.3
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2020,75.7
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2021,75.9
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2022,74.1
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2023Q1,66.5
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2023Q2,71.3
420,1706,Buxoro viloyati,Бухарская область,Bukhara region,2023Q3,73.1
420,1708,Jizzax viloyati,Джизакская область,Jizzakh region,2010,79.4
420,1708,Jizzax viloyati,Джизакская область,Jizzakh region,2012,78.3
420,1708,Jizzax viloyati,Джизакская область,Jizzakh region,2013,76.0
